Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt,Url
vlees-kip-vis-vega,6.28,AH Biefstuk,"ca. 275 gPrijs per KG € 22,82",Nutri-Score A,False,False,,,23 g,458 kJ (108 kcal),,,,0 g,,,,,,1.8 g,,,,,,,,,,,,0 g,,,0.8 g,,0.7 g,,,
vlees-kip-vis-vega,3.69,AH Mager rundergehakt,"300 gPrijs per KG € 12,30",Nutri-Score B,False,False,,,20 g,799 kJ (192 kcal),,,,0.9 g,,,,,,12 g,,,,,,,,,,,,0 g,,,5.1 g,,5.2 g,,,
vlees-kip-vis-vega,1.99,Meester & Zn. Gerookt ontbijtspek,"200 gPrijs per KG € 9,95",Nutri-Score E,False,False,,,15 g,1263 kJ (305 kcal),,,,0.5 g,,,,,,27 g,,,,,,,,,,,,0 g,,,16 g,,11 g,,,
vlees-kip-vis-vega,3.29,AH Varkenslavink,4 stuks,Nutri-Score D,False,False,,,19 g,1140 kJ (274 kcal),,,,2.3 g,,,,,,21 g,,,,,,,,,,,,0.06 g,,,11 g,,8 g,,,
vlees-kip-vis-vega,2.99,AH Varkensbraadworst,4 stuks,Nutri-Score D,False,False,,,20 g,1067 kJ (257 kcal),,,,1.4 g,,,,,,19 g,,,,,,,,,,,,0.07 g,,,9.9 g,,7.2 g,,,
vlees-kip-vis-vega,2.99,AH Boerengehakt schnitzel,"2 stuksPrijs per KG € 11,96",Nutri-Score D,False,False,,,16 g,1287 kJ (308 kcal),,,,18 g,,,,,,19 g,,,,,,,,,,,,0.7 g,,,10 g,,7.3 g,,,
vlees-kip-vis-vega,4.99,AH Zalmfilet,"250 gPrijs per KG € 19,96",Nutri-Score A,False,False,,,20 g,747 kJ (179 kcal),,,,0 g,,,,,,11 g,,,,,,,,,,,,0 g,,,9.4 g,,2 g,,,
vlees-kip-vis-vega,9.99,AH Greenfields Runder riblappen,"ca. 720 gNormale prijs per KG € 13,88",Nutri-Score B,False,False,,,20 g,692 kJ (166 kcal),,,,0 g,,,,,,9.5 g,,,,,,,,,,,,0 g,,,4.1 g,,4.2 g,,,
vlees-kip-vis-vega,3.19,AH Scharrel kipschnitzel 2 stuks,"205 gPrijs per KG € 15,56",Nutri-Score C,False,False,,,11 g,1003 kJ (240 kcal),,,,17 g,,,,,,14 g,,,,,,,,,,,,1.1 g,,,10 g,,2.9 g,,,
vlees-kip-vis-vega,2.29,AH Maatjesharing met uitjes,2 stuks,Nutri-Score D,False,False,,40 mg,17 g,622 kJ (149 kcal),,1.5 mg,,1 g,,34 mg,,,,8.5 g,,,,0.2 mg,,,,,1.2 mg,,,0.2 g,5 g,1.5 g,6.5 g,,2 g,0.6 mg,,
