Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt,Url
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,2.99,Iglo Fijngehakte spinazie met boursin,"450 gPrijs per KG € 6,64",Nutri-Score B,False,False,,,3.3 g,369 kJ (89 kcal),,,,2 g,,,,,,7.1 g,472 µg,,,,,,,,,,560 µg,2 g,,,,,4.6 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,4.99,AH Biologisch Sultana rozijnen,"500 gPrijs per KG € 9,98",Nutri-Score B,False,True,,,3 g,1215 kJ (285 kcal),,,,64 g,,,,,,1 g,,,,,,,,,,,,5 g,,,0.8 g,,0.2 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,5.99,AH Gesneden verspakket trayb pad,"795 gPrijs per KG € 7,53",Nutri-Score B,True,True,,,5.4 g,439 kJ (105 kcal),,,,6.3 g,,,,,,6.1 g,,,,,,,,,,,,1.8 g,,,3.8 g,,2.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,6.29,AH Gesneden verspakket Midden-Oost shaksuka,"1,01 kgPrijs per KG € 6,26",Nutri-Score B,False,True,,,4 g,423 kJ (101 kcal),,,,15 g,,,,,,2.3 g,,,,,,,,,,,,1.9 g,,,1.5 g,,0.5 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,2.89,AH Kleine salade parelcouscous pesto,"200 gPrijs per KG € 14,45",Nutri-Score B,False,True,,,4.3 g,641 kJ (154 kcal),,,,15 g,,,,,,8.1 g,,,,,,,,,,,,1.7 g,,,6.2 g,,1.6 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,3.89,AH Pastasalade pesto,"350 gPrijs per KG € 11,11",Nutri-Score B,False,False,,,5 g,830 kJ (199 kcal),,,,17 g,,,,,,12 g,,,,,,,,,,,,1.5 g,,,9.4 g,,2.2 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,1.50,AH Kokosnoot chunks,"90 gPrijs per KG € 16,67",Nutri-Score B,True,True,,,3.8 g,1528 kJ (371 kcal),,,,3.5 g,,,,,400 mg,36 g,,,,,,,,,,,,9 g,,,3 g,,31 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,6.29,AH Gesneden verspakket jambalaya,"915 gPrijs per KG € 6,87",Nutri-Score B,True,True,,,4.3 g,490 kJ (117 kcal),,,,12 g,,,,,,5.4 g,,,,,,,,,,,,1.6 g,,,3.5 g,,2 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,4.99,AH Gewelde abrikozen zonder pit,"500 gPrijs per KG € 9,98",Nutri-Score B,True,True,,,3 g,993 kJ (235 kcal),,,,51 g,,,,,,0.5 g,,,,,,,,,,,,7 g,,,0.2 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,1.89,AH Vers groentesap wortel sinas gember,"250 mlPrijs per LT € 7,56",Nutri-Score B,False,True,,,0.7 g,131 kJ (31 kcal),,,,6.3 g,,,,,,0 g,,,,,,,,23.9 mg,,,,1.5 g,,,0 g,,0 g,,,
