Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
snoep-koek-chips-en-chocolade,1.55,Lay's Wokkels paprika flavour,"100 gPrijs per KG € 15,50",Nutri-Score D,False,False,https://www.ah.nl/producten/product/wi457430/lay-s-wokkels-paprika-flavour,,,4 g,1920 kJ (460 kcal),,,,67 g,,,,,,19 g,,,,,,,,,,,,4 g,,,,,1.6 g,,
snoep-koek-chips-en-chocolade,2.29,Lay's Naturel,"300 gPrijs per KG € 7,63",Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi526385/lay-s-naturel,,,6.1 g,2121 kJ (508 kcal),,,,53 g,,,,,,30 g,,,,,,,,,,,,4.3 g,,,,,3.2 g,,
snoep-koek-chips-en-chocolade,2.29,Lay's Paprika,"300 gPrijs per KG € 7,63",Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi526386/lay-s-paprika,,,6.4 g,2244 kJ (538 kcal),,,,54 g,,,,,,32 g,,,,,,,,,,,,4.8 g,,,,,3.5 g,,
snoep-koek-chips-en-chocolade,0.74,AH Roze koeken mini,"6 stuksPrijs per KG € 3,52",Nutri-Score D,False,True,https://www.ah.nl/producten/product/wi142571/ah-roze-koeken-mini,,,4.4 g,1806 kJ (431 kcal),,,,57 g,,,,,,20 g,,,,,,,,,,,,2.8 g,,,12 g,,8 g,,
snoep-koek-chips-en-chocolade,1.09,AH Eierkoeken,"360 gPrijs per KG € 3,03",Nutri-Score C,False,True,https://www.ah.nl/producten/product/wi473738/ah-eierkoeken,,,8.9 g,1336 kJ (316 kcal),,,,61 g,,,,,,3.7 g,,,,,,,,,,,,1.4 g,,,2.5 g,,1.2 g,,
snoep-koek-chips-en-chocolade,1.25,AH Ribbelchips paprika,"250 gPrijs per KG € 5,00",Nutri-Score D,False,True,https://www.ah.nl/producten/product/wi448476/ah-ribbelchips-paprika,,,5.5 g,2231 kJ (535 kcal),,,,52 g,,,,,,33 g,,,,,,,,,,,,4 g,,,30 g,,3.4 g,,
snoep-koek-chips-en-chocolade,1.99,AH Scrocchi Rozemarijn Zeezout,"200 gNormale prijs per KG € 9,95",Nutri-Score D,True,True,https://www.ah.nl/producten/product/wi480501/ah-scrocchi-rozemarijn-zeezout,,,10 g,1796 kJ (427 kcal),,,,68 g,,,,,,12 g,,,,,,,,,,,,3.3 g,,,10 g,,1.7 g,,
snoep-koek-chips-en-chocolade,1.95,Sultana Fruitbiscuit appel,"218 gPrijs per KG € 8,94",,False,False,https://www.ah.nl/producten/product/wi98435/sultana-fruitbiscuit-appel,,,5.2 g,1604 kJ (380 kcal),,,,74.9 g,,,,,,7.1 g,,,,,,,,,,,,3.6 g,,,,,0.7 g,,
snoep-koek-chips-en-chocolade,1.95,Sultana Fruitbiscuit naturel,"218 gPrijs per KG € 8,94",,False,False,https://www.ah.nl/producten/product/wi98439/sultana-fruitbiscuit-naturel,,,5.7 g,1658 kJ (393 kcal),,,,74.1 g,,,,,,7.5 g,,,,,,,,,,,,3.6 g,,,,,0.8 g,,
snoep-koek-chips-en-chocolade,1.69,Croky Chips paprika,"215 gPrijs per KG € 7,86",,False,False,https://www.ah.nl/producten/product/wi128265/croky-chips-paprika,,,6.5 g,2156 kJ (515 kcal),,,,54.8 g,,,,,,29.1 g,,,,,,,,,,,,4.1 g,,,,,2.4 g,,
snoep-koek-chips-en-chocolade,2.49,AH Cranberrymix ongezouten,"200 gPrijs per KG € 12,45",Nutri-Score B,True,True,https://www.ah.nl/producten/product/wi217701/ah-cranberrymix-ongezouten,,,16 g,2472 kJ (596 kcal),,,,28 g,,,,,,45 g,,,,,,,,,13.87 mg,,,7.4 g,,,38 g,,4.9 g,,
snoep-koek-chips-en-chocolade,1.49,AH Roomboter zandkoekjes,"200 gNormale prijs per KG € 7,45",Nutri-Score E,False,True,https://www.ah.nl/producten/product/wi517490/ah-roomboter-zandkoekjes,,,5.4 g,2180 kJ (522 kcal),,,,57 g,,,,,,30 g,,,,,,,,,,,,1.1 g,,,9 g,,21 g,,
snoep-koek-chips-en-chocolade,1.08,AH Cocktail borrelnoten,"250 gPrijs per KG € 4,32",Nutri-Score D,True,True,https://www.ah.nl/producten/product/wi447572/ah-cocktail-borrelnoten,,,14 g,2170 kJ (520 kcal),,,,44 g,,,,,,31 g,,,,,,,,,,,,4.6 g,,,26 g,,4.1 g,,
snoep-koek-chips-en-chocolade,1.65,Croky Chips bolognese,"215 gPrijs per KG € 7,67",,False,False,https://www.ah.nl/producten/product/wi128264/croky-chips-bolognese,,,6.6 g,2160 kJ (516 kcal),,,,55 g,,,,,,29 g,,,,,,,,,,,,4.1 g,,,,,2.4 g,,
snoep-koek-chips-en-chocolade,2.79,M&M'S Pinda,"250 gPrijs per KG € 11,16",,False,False,https://www.ah.nl/producten/product/wi3202/m-en-m-s-pinda,,,9.8 g,2190 kJ (524 kcal),,,,60 g,,,,,,26 g,,,,,,,,,,,,,,,,,11 g,,
snoep-koek-chips-en-chocolade,4.49,Mars Minimix,"500 gNormale prijs per KG € 8,98",,False,False,https://www.ah.nl/producten/product/wi133397/mars-minimix,,,3.3 g,1865 kJ (443 kcal),,,,73 g,,,,,,15 g,,,,,,,,,,,,,,,,,7.2 g,,
snoep-koek-chips-en-chocolade,1.05,AH Popcorn Zout,"100 gPrijs per KG € 10,50",,False,False,https://www.ah.nl/producten/product/wi187874/ah-popcorn-zout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snoep-koek-chips-en-chocolade,1.39,Chio Pom-bar original,"90 gPrijs per KG € 15,44",,False,False,https://www.ah.nl/producten/product/wi193683/chio-pom-bar-original,,,3.1 g,2158 kJ (516 kcal),,,,61.2 g,,,,,,28.2 g,,,,,,,,,,,,,,,,,2.3 g,,
snoep-koek-chips-en-chocolade,0.75,AH Digestive,"400 gPrijs per KG € 1,88",Nutri-Score C,True,True,https://www.ah.nl/producten/product/wi46865/ah-digestive,,,6.5 g,2035 kJ (485 kcal),,,,66 g,,,,,,21 g,,,,,,,,,,,,3.2 g,,,19 g,,1.8 g,,
