Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt,Url
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,2.49,AH Jonagold zak,"1,5 kgPrijs per KG € 1,66",Nutri-Score A,False,False,0 g,,0.3 g,250 kJ (59 kcal),,,,13 g,,,,,,0.2 g,,,,,,,,,,,,2 g,0 g,0.1 g,0.1 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.99,AH Romaatje,"250 gNormale prijs per KG € 9,96",Nutri-Score A,True,True,,,0.9 g,128 kJ (31 kcal),,,,4 g,,,,,,0.8 g,,,,,,,,24 mg,,,,1.9 g,,,0.5 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,2.29,AH Sperziebonen,"400 gPrijs per KG € 5,73",Nutri-Score A,True,True,,,2.3 g,106 kJ (25 kcal),,,,1.8 g,,,,,,0.2 g,,,,,,,,,,,,3.6 g,,,0.1 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,2.49,AH Nederlandse trostomaten,"6 stuksPrijs per KG € 9,96",Nutri-Score A,True,True,,,0.7 g,91 kJ (22 kcal),,,,3 g,,,,,,0.5 g,,,,,,,,16 mg,,,,1.2 g,,,0.4 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,2.69,AH Tasty Tom trostomaten,"380 gPrijs per KG € 7,08",Nutri-Score A,True,True,,,0.7 g,91 kJ (22 kcal),,,,3 g,,,,,,0.5 g,,,,,,,,16 mg,,,,1.2 g,,,0.4 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.00,AH IJsbergsla,"200 gPrijs per KG € 5,00",Nutri-Score A,True,True,,,1 g,58 kJ (14 kcal),,,,1.4 g,,,,,,0.2 g,,,,,,,,,,,,1.2 g,,,0.1 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,2.99,AH Galia meloen,"per stukPrijs per KG € 3,65",Nutri-Score A,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,2.99,AH Handsinaasappelen,"2 kgPrijs per KG € 1,50",Nutri-Score A,False,False,,,0.8 g,201 kJ (48 kcal),,,,7.9 g,,,,,,1 g,,,,,,,,51 mg,,,,2 g,,,0.8 g,,0.2 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,2.59,AH Sable blauwe druiven pitloos,"400 gPrijs per KG € 6,48",Nutri-Score A,True,True,,,0.6 g,320 kJ (76 kcal),,,,17 g,,,,,,0.1 g,,,,,,,,,,,,2.1 g,,,0.1 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.69,AH Citroenen,"5 stuksPrijs per KG € 3,07",Nutri-Score A,False,False,,,0.8 g,92 kJ (22 kcal),,,,3 g,,,,,,0.3 g,,,,,,,,40 mg,,,,2 g,,,0.2 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.99,AH Snoepgroente paprikamix,"175 gNormale prijs per KG € 11,37",Nutri-Score A,True,True,,,0.8 g,99 kJ (24 kcal),,,,3.8 g,,,,,,0.1 g,,,,,,,,124 mg,,,,2.1 g,,,0.1 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.79,AH Biologisch Gember,"150 gPrijs per KG € 11,93",Nutri-Score A,True,True,,,2 g,350 kJ (83 kcal),,,,16 g,,,,,,0.8 g,,,,,,,,,,,,2 g,,,0.4 g,,0.2 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.19,AH Basilicum,"15 gPrijs per KG € 79,33",Nutri-Score A,True,True,,,3.1 g,200 kJ (48 kcal),,,,5.1 g,,,,,,0.8 g,,,,,,,,,,,414.8 µg,3.9 g,,,0.7 g,,0.1 g,,,
