Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
pasta-rijst-en-wereldkeuken,0.69,Unox Good noodles groente,"per stukPrijs per KG € 9,86",,False,False,https://www.ah.nl/producten/product/wi99089/unox-good-noodles-groente,,,1.6 g,384 kJ (92 kcal),,,,11 g,,,,,,4.1 g,,,,,,,,,,,,< 0.5 g,,,,,2.1 g,,
pasta-rijst-en-wereldkeuken,3.95,Unox Gelderse xxl rookworst 2015,"375 gPrijs per KG € 10,53",,False,False,https://www.ah.nl/producten/product/wi367558/unox-gelderse-xxl-rookworst-2015,,,13 g,283 kcal (1183 kJ),,,,< 0.5 g,,,,,,26 g,,,,,,,,,,,,< 0.5 g,,,,,9.9 g,,
pasta-rijst-en-wereldkeuken,1.95,AH Rozijnen zongedroogd,"750 gPrijs per KG € 2,60",Nutri-Score C,True,True,https://www.ah.nl/producten/product/wi396924/ah-rozijnen-zongedroogd,,,3 g,1458 kJ (344 kcal),,,,80 g,,,,,,0.5 g,,,,,,,,,,,,3.5 g,,,0.2 g,,0.1 g,,
pasta-rijst-en-wereldkeuken,0.89,AH Macaroni,"500 gPrijs per KG € 1,78",Nutri-Score A,False,True,https://www.ah.nl/producten/product/wi375756/ah-macaroni,,,13 g,1515 kJ (357 kcal),,,,72 g,,,,,,1.3 g,,,,,,,,,,,,2.7 g,,,1 g,,0.3 g,,
pasta-rijst-en-wereldkeuken,1.79,Grand' Italia Spaghetti tradizionali,"500 gPrijs per KG € 3,58",,False,False,https://www.ah.nl/producten/product/wi2090/grand-italia-spaghetti-tradizionali,,,13 g,1483 kJ (353 kcal),,,,71 g,,,,,,1.3 g,,,,,,,,,,,,3.7 g,,,,,0.3 g,,
pasta-rijst-en-wereldkeuken,3.96,AH Kokosmelk 4-pack,per pakket,,False,False,https://www.ah.nl/producten/product/wi545537/ah-kokosmelk-4-pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pasta-rijst-en-wereldkeuken,2.25,AH Hummus naturel,"175 gPrijs per KG € 12,86",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi217309/ah-hummus-naturel,,,7.8 g,988 kJ (239 kcal),,,,5.5 g,,,,,,18 g,,,,,,,,,,,,12 g,,,15 g,,2.4 g,,
pasta-rijst-en-wereldkeuken,2.29,AH Verse spaghetti all'uovo,"250 gPrijs per KG € 9,16",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi168206/ah-verse-spaghetti-all-uovo,,,10 g,1205 kJ (285 kcal),,,,53 g,,,,,,3 g,,,,,,,,,,,,2.9 g,,,2.2 g,,0.8 g,,
pasta-rijst-en-wereldkeuken,0.99,AH Cassave,"125 gPrijs per KG € 7,92",Nutri-Score D,True,True,https://www.ah.nl/producten/product/wi490539/ah-cassave,,,1.3 g,2059 kJ (492 kcal),,,,66 g,,,,,,24 g,,,,,,,,,,,,3.3 g,,,22 g,,2 g,,
pasta-rijst-en-wereldkeuken,1.15,AH Groene pesto,"190 gPrijs per KG € 6,05",Nutri-Score D,False,False,https://www.ah.nl/producten/product/wi170655/ah-groene-pesto,,,4 g,1505 kJ (365 kcal),,,,5 g,,,,,,36 g,,,,,,,,,,,,2.5 g,,,32 g,,4.5 g,,
pasta-rijst-en-wereldkeuken,1.19,AH Pastasaus classic,"520 gNormale prijs per KG € 2,29",Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi416669/ah-pastasaus-classic,,,1 g,196 kJ (47 kcal),,,,7.5 g,,,,,,1.2 g,,,,,,,,,,,,0.9 g,,,1.1 g,,0.1 g,,
pasta-rijst-en-wereldkeuken,1.49,AH Biologisch Volkoren penne rigate,"500 gPrijs per KG € 2,98",Nutri-Score A,False,True,https://www.ah.nl/producten/product/wi58168/ah-biologisch-volkoren-penne-rigate,,,14 g,1454 kJ (344 kcal),,,,64 g,,,,,,2 g,,,,,,,,,,,,6.8 g,,,1.9 g,,0.1 g,,
pasta-rijst-en-wereldkeuken,2.25,AH Groene olijven met knoflook,"130 gPrijs per KG € 17,31",Nutri-Score D,True,True,https://www.ah.nl/producten/product/wi217335/ah-groene-olijven-met-knoflook,,,1.1 g,1039 kJ (252 kcal),,,,2.1 g,,,,,,26 g,,,,,,,,,,,,2.8 g,,,22 g,,3.5 g,,
pasta-rijst-en-wereldkeuken,1.69,Mutti Polpa,"425 mlPrijs per LT € 3,98",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi234848/mutti-polpa,,,1.2 g,110 kJ (26 kcal),,,,3.9 g,,,,,,0.2 g,,,,,,,,,,,,,,,,,< 0.1 g,,
pasta-rijst-en-wereldkeuken,55.08,AH Olijfolie traditioneel 4-pack,per pakket,,False,False,https://www.ah.nl/producten/product/wi544745/ah-olijfolie-traditioneel-4-pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pasta-rijst-en-wereldkeuken,1.19,AH Tortilla wraps volkoren medium,"370 gPrijs per KG € 3,22",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi453733/ah-tortilla-wraps-volkoren-medium,,,9.3 g,1211 kJ (287 kcal),,,,48 g,,,,,,4.7 g,,,,,,,,,,,,7.9 g,,,3.5 g,,1 g,,
pasta-rijst-en-wereldkeuken,8.36,Unox Preistamppot,per pakket,,False,False,https://www.ah.nl/producten/product/wi544670/unox-preistamppot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pasta-rijst-en-wereldkeuken,1.19,Koopmans Mix voor pannenkoeken origineel,"400 gNormale prijs per KG € 2,98",,False,False,https://www.ah.nl/producten/product/wi3453/koopmans-mix-voor-pannenkoeken-origineel,,,6.9 g,736 kJ (174 kcal),,,,28 g,,,,,,3.8 g,,,,,,,,,,,,0.9 g,,,,,1.1 g,,
pasta-rijst-en-wereldkeuken,5.99,AH Olijfolie mild,"1 lPrijs per LT € 5,99",Nutri-Score C,True,True,https://www.ah.nl/producten/product/wi58053/ah-olijfolie-mild,,,0 g,3367 kJ (819 kcal),,,,0 g,,,,,,91 g,,,,,,,,,,,,0 g,,,77 g,,14 g,,
pasta-rijst-en-wereldkeuken,1.09,AH Mienestjes,"500 gPrijs per KG € 2,18",Nutri-Score A,False,True,https://www.ah.nl/producten/product/wi944/ah-mienestjes,,,11 g,1487 kJ (351 kcal),,,,72 g,,,,,,1.5 g,,,,,,,,,,,,2.5 g,,,1.4 g,,0.1 g,,
pasta-rijst-en-wereldkeuken,3.69,AH Quiche lorraine,"300 gNormale prijs per KG € 12,30",Nutri-Score D,False,False,https://www.ah.nl/producten/product/wi55960/ah-quiche-lorraine,,,9.5 g,1030 kJ (247 kcal),,,,16 g,,,,,,16 g,,,,,,,,,,,,0.6 g,,,8.7 g,,6.8 g,,
pasta-rijst-en-wereldkeuken,1.69,AH Tortilla naturel wraps,"12 stuksPrijs per KG € 2,28",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi173410/ah-tortilla-naturel-wraps,,,8.7 g,1327 kJ (315 kcal),,,,54 g,,,,,,6.1 g,,,,,,,,,,,,4.4 g,,,4.8 g,,1.1 g,,
pasta-rijst-en-wereldkeuken,1.35,AH Nacho chips naturel,"200 gPrijs per KG € 6,75",Nutri-Score B,True,True,https://www.ah.nl/producten/product/wi191601/ah-nacho-chips-naturel,,,6.6 g,1972 kJ (470 kcal),,,,64 g,,,,,,20 g,,,,,,,,,,,,4 g,,,18 g,,2 g,,
pasta-rijst-en-wereldkeuken,0.55,Maggi Jus naturel juspoeder,"29 gPrijs per KG € 18,97",,False,False,https://www.ah.nl/producten/product/wi105869/maggi-jus-naturel-juspoeder,,,12.8 g,1784 kJ (426 kcal),,,,48 g,,,,,,19.9 g,,,,,,,,,,,,1.6 g,,,,,12.1 g,,
pasta-rijst-en-wereldkeuken,2.09,Santa Maria Tortilla wraps medium,"8 stuksPrijs per KG € 6,53",,True,True,https://www.ah.nl/producten/product/wi417523/santa-maria-tortilla-wraps-medium,,,8.3 g,1277 kJ (302 kcal),,,,55 g,,,,,,4.9 g,,,,,,,,,,,,2.5 g,,,,,1.2 g,,
