Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
soepen-sauzen-kruiden-olie,1.99,Hak Appelmoes 0%,"350 gPrijs per KG € 5,69",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi233988/hak-appelmoes-0,,,0.3 g,199 kJ (47 kcal),,,,10 g,,,,,,0.2 g,,,,,,,,,,,,2 g,,,,,0 g,,
soepen-sauzen-kruiden-olie,1.69,Mutti Polpa,"425 mlPrijs per LT € 3,98",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi234848/mutti-polpa,,,1.2 g,110 kJ (26 kcal),,,,3.9 g,,,,,,0.2 g,,,,,,,,,,,,,,,,,< 0.1 g,,
soepen-sauzen-kruiden-olie,55.08,AH Olijfolie traditioneel 4-pack,per pakket,,False,False,https://www.ah.nl/producten/product/wi544745/ah-olijfolie-traditioneel-4-pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soepen-sauzen-kruiden-olie,2.39,Calvé Calve mayonaise,"650 mlPrijs per LT € 3,68",,False,False,https://www.ah.nl/producten/product/wi429373/calve-calve-mayonaise,,,0.9 g,630 kcal (2636 kJ),,,,3.5 g,,,,,,69 g,,,,,,,,,,,,,,,,,5.5 g,,
soepen-sauzen-kruiden-olie,5.99,AH Olijfolie mild,"1 lPrijs per LT € 5,99",Nutri-Score C,True,True,https://www.ah.nl/producten/product/wi58053/ah-olijfolie-mild,,,0 g,3367 kJ (819 kcal),,,,0 g,,,,,,91 g,,,,,,,,,,,,0 g,,,77 g,,14 g,,
soepen-sauzen-kruiden-olie,1.69,AH Maiskorrels fris en knapperig  3-pack,"450 gPrijs per KG € 3,76",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi509288/ah-maiskorrels-fris-en-knapperig-3-pack,,,2.5 g,299 kJ (71 kcal),,,,11 g,,,,,,1.2 g,,,,,,,,,,,,3.1 g,,,0.9 g,,0.3 g,,
soepen-sauzen-kruiden-olie,0.55,Maggi Jus naturel juspoeder,"29 gPrijs per KG € 18,97",,False,False,https://www.ah.nl/producten/product/wi105869/maggi-jus-naturel-juspoeder,,,12.8 g,1784 kJ (426 kcal),,,,48 g,,,,,,19.9 g,,,,,,,,,,,,1.6 g,,,,,12.1 g,,
soepen-sauzen-kruiden-olie,2.15,Unox Runder knaks,"400 gPrijs per KG € 10,75",,False,False,https://www.ah.nl/producten/product/wi223381/unox-runder-knaks,,,13 g,180 kcal (770 kJ),,,,7.4 g,,,,,,11 g,,,,,,,,,,,,,,,,,4.9 g,,
soepen-sauzen-kruiden-olie,1.39,Hak Bruine bonen uit Zeeland,"370 gPrijs per KG € 5,79",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi365960/hak-bruine-bonen-uit-zeeland,,,6 g,469 kJ (111 kcal),,,,16.3 g,,,,,,0.7 g,,,,,,,,,,,,8 g,,,,,0.2 g,,
soepen-sauzen-kruiden-olie,1.69,Unox Cup-a-soup champignon crème," 3 x 175 mlPrijs per LT € 3,22",,False,False,https://www.ah.nl/producten/product/wi388335/unox-cup-a-soup-champignon-creme,,,0.8 g,163 kJ (39 kcal),,,,4.6 g,,,,,,1.9 g,,,,,,,,,,,,< 0.5 g,,,,,1.1 g,,
soepen-sauzen-kruiden-olie,0.99,AH Augurken partysticks zoetzuur,"670 gPrijs per KG € 2,75",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi914/ah-augurken-partysticks-zoetzuur,,,0.6 g,128 kJ (30 kcal),,,,5.4 g,,,,,,0.2 g,,,,,,,,,,,,0.9 g,,,0.1 g,,0.1 g,,
soepen-sauzen-kruiden-olie,2.79,Grand' Italia Sugocasa tradizionale pastasaus,"690 gPrijs per KG € 4,04",,False,False,https://www.ah.nl/producten/product/wi2063/grand-italia-sugocasa-tradizionale-pastasaus,,,1.5 g,151 kJ (36 kcal),,,,6.5 g,,,,,,0.2 g,,,,,,,,,,,,0.9 g,,,,,0 g,,
soepen-sauzen-kruiden-olie,1.19,AH Peterselie,"30 gPrijs per KG € 39,67",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi238970/ah-peterselie,,,4 g,125 kJ (30 kcal),,,,1 g,,,,,,0 g,,,,,,,,,,,548 µg,5 g,,,,,0 g,,
soepen-sauzen-kruiden-olie,0.79,AH Kappertjes,"100 gPrijs per KG € 13,17",Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi62825/ah-kappertjes,,,2.4 g,172 kJ (41 kcal),,,,4.9 g,,,,,,0.6 g,,,,,,,,,,,,3.2 g,0.1 g,0.3 g,,,0.2 g,,
soepen-sauzen-kruiden-olie,1.35,AH Rijkgevulde tomatensoep,"800 mlPrijs per LT € 1,69",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi920/ah-rijkgevulde-tomatensoep,,,1.7 g,204 kJ (48 kcal),,,,7.6 g,,,,,,1.1 g,,,,,,,,,,,,0.6 g,,,0.6 g,,0.5 g,,
soepen-sauzen-kruiden-olie,1.95,Remia Mayonaise,"500 mlPrijs per LT € 3,90",,False,False,https://www.ah.nl/producten/product/wi166519/remia-mayonaise,,,0.9 g,2573 kJ (625 kcal),,,,3.3 g,,,,,,67 g,,,,,,,,,,,,,,,,,5.1 g,,
soepen-sauzen-kruiden-olie,1.00,AH Ananasstukjes op sap,"227 gPrijs per KG € 7,14",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi56754/ah-ananasstukjes-op-sap,,,0.3 g,243 kJ (57 kcal),,,,13 g,,,,,,0.1 g,,,,,,,,,,,,1.6 g,,,0 g,,0 g,,
soepen-sauzen-kruiden-olie,0.59,Maggi Jus stamppot juspoeder,"24 gPrijs per KG € 24,58",,False,False,https://www.ah.nl/producten/product/wi170111/maggi-jus-stamppot-juspoeder,,,11.8 g,1742 kJ (416 kcal),,,,47.5 g,,,,,,19.3 g,,,,,,,,,,,,2.5 g,,,,,11.5 g,,
soepen-sauzen-kruiden-olie,1.09,Wijko Satesaus kant & klaar,"120 gPrijs per KG € 9,08",,False,False,https://www.ah.nl/producten/product/wi167242/wijko-satesaus-kant-en-klaar,,,7.3 g,1040 kJ (249 kcal),,,,22 g,,,,,,14 g,,,,,,,,,,,,,,,,,1.9 g,,
soepen-sauzen-kruiden-olie,1.85,Bonduelle Crispy maïs,"300 gNormale prijs per KG € 6,49",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi104064/bonduelle-crispy-mais,,,2.7 g,300 kJ (71 kcal),,,,10.5 g,,,,,,1.4 g,,,,,,,,,,,,3 g,,,,,0.2 g,,
soepen-sauzen-kruiden-olie,0.89,AH Hollandse bruine bonen,"680 gPrijs per KG € 1,91",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi841/ah-hollandse-bruine-bonen,,,6.2 g,439 kJ (104 kcal),,,,14 g,,,,,,1.1 g,,,,,,,,,,,,6.8 g,,,0.4 g,,0.7 g,,
soepen-sauzen-kruiden-olie,1.19,AH Munt,"15 gPrijs per KG € 79,33",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi238969/ah-munt,,199 mg,3.8 g,205 kJ (49 kcal),,11.8 mg,,5.1 g,,63 mg,,,,0.7 g,,,,0.1 mg,0.9 mg,0.2 mg,0.1 mg,13.3 mg,,,,3.5 g,,,0.4 g,,0.2 g,1 mg,
soepen-sauzen-kruiden-olie,1.39,Hak Sperziebonen fijn gebroken,"340 gPrijs per KG € 7,51",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi201909/hak-sperziebonen-fijn-gebroken,,,1.8 g,106 kJ (25 kcal),,,,2.2 g,,,,,,0.4 g,,,,,,,,,,,,2.9 g,,,,,0.1 g,,
soepen-sauzen-kruiden-olie,2.29,AH Pastasaus tomaat mascarpone,"225 gPrijs per KG € 10,18",Nutri-Score C,False,True,https://www.ah.nl/producten/product/wi120332/ah-pastasaus-tomaat-mascarpone,,,2.4 g,354 kJ (85 kcal),,,,5.8 g,,,,,,5.5 g,,,,,,,,,,,,1.4 g,,,1.6 g,,3.6 g,,
soepen-sauzen-kruiden-olie,1.39,AH Koriander grootverpakking,"40 gPrijs per KG € 34,75",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi207077/ah-koriander-grootverpakking,,,2.1 g,92 kJ (22 kcal),,,,0.9 g,,,,,,0.5 g,,,,,,,,,,,,2.8 g,,,0.3 g,,0.01 g,,
soepen-sauzen-kruiden-olie,1.19,AH Bieslook,"25 gPrijs per KG € 47,60",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi238965/ah-bieslook,,,4 g,259 kJ (62 kcal),,,,8 g,,,,,,1 g,,,,,,,,,,,,2.3 g,,,,,0 g,,
