Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt,Url
kaas-vleeswaren-tapas,2.89,AH Filet americain,"150 gPrijs per KG € 19,27",Nutri-Score D,False,False,,,13 g,1035 kJ (250 kcal),,,,2 g,,,,,,21 g,,,,,,,,,,,,0.2 g,,,16 g,,5 g,,,
kaas-vleeswaren-tapas,3.39,Heks'nkaas Origineel,"200 gPrijs per KG € 16,95",,False,False,,,1.9 g,1664 kJ (403 kcal),,,,9.7 g,,,,,,39.4 g,,,,,,,,,,,,,,,,,4.8 g,,,
kaas-vleeswaren-tapas,2.29,Kips Vega pat vol en smeuig,"125 gPrijs per KG € 18,32",,False,False,,,6.2 g,1082 kJ (261 kcal),,,,6.9 g,,,,,,23.1 g,,,,,,,,,,,,0.8 g,,,,,10.8 g,,,
kaas-vleeswaren-tapas,4.09,De Zaanse Hoeve Jong belegen 48+ plakken,"400 gPrijs per KG € 10,23",Nutri-Score D,False,True,,,23 g,1465 kJ (355 kcal),,,,0 g,,,,,,29 g,,,,,,,,,,,,0 g,,,8.5 g,,20 g,,,
kaas-vleeswaren-tapas,2.25,AH Grillworst kip,"ca. 125 gPrijs per KG € 18,00",Nutri-Score D,False,False,,,14 g,993 kJ (239 kcal),,,,5.2 g,,,,,,18 g,,,,,,,,,,,,0.1 g,,,11 g,,7.2 g,,,
kaas-vleeswaren-tapas,2.43,AH Gebraden gehakt,"ca. 140 gPrijs per KG € 17,09",Nutri-Score E,False,False,,,14 g,1118 kJ (270 kcal),,,,3.9 g,,,,,,22 g,,,,,,,,,,,,0 g,9.9 g,3.7 g,,,8 g,,,
kaas-vleeswaren-tapas,1.75,Maza Hoemoes,"200 gNormale prijs per KG € 8,75",,False,False,,,6.4 g,1335 kJ (312 kcal),,,,6.1 g,,,,,,30.4 g,,,,,,,,,,,,,,,,,3.8 g,,,
kaas-vleeswaren-tapas,3.79,AH Goudse belegen 48+ geraspt,"175 gNormale prijs per KG € 21,66",Nutri-Score D,False,False,,,24 g,1589 kJ (383 kcal),,,,2 g,,,,,,31 g,,,,,,,,,,,,0 g,,,8.5 g,,21 g,,,
kaas-vleeswaren-tapas,1.99,AH Griekse feta,"200 gPrijs per KG € 9,95",Nutri-Score E,False,True,,,17 g,1152 kJ (278 kcal),,,,0.7 g,,,,,,23 g,,,,,,,,,,,,0 g,,,5.2 g,,17 g,,,
kaas-vleeswaren-tapas,8.49,De Zaanse Hoeve Jong belegen 48+ stuk voordeel,"ca. 1006 gPrijs per KG € 8,44",Nutri-Score E,False,True,,,23 g,1540 kJ (370 kcal),,,,0 g,,,,,,31 g,,,,,,,,,,,,0 g,,,8.9 g,,21 g,,,
kaas-vleeswaren-tapas,2.99,AH Scharrel flinterdunne kipfilet,"ca. 110 gPrijs per KG € 27,18",Nutri-Score C,False,False,,,20 g,460 kJ (109 kcal),,,,1.8 g,,,,,,2.3 g,,,,,,,,,,,,0.5 g,,,1.5 g,,0.8 g,,,
kaas-vleeswaren-tapas,2.19,AH Roombrie 60+,"155 gNormale prijs per KG € 14,13",Nutri-Score D,False,False,,,17 g,1436 kJ (347 kcal),,,,0 g,,,,,,31 g,,,,,,,,,,,,0 g,,,8.6 g,,22 g,,,
kaas-vleeswaren-tapas,5.39,AH Goudse jong 48+ plakken voordeel,"400 gPrijs per KG € 13,48",Nutri-Score D,False,True,,,23 g,1500 kJ (360 kcal),,,,0 g,,,,,,30 g,,,,,,,,,,,,0 g,,,8.9 g,,20 g,,,
kaas-vleeswaren-tapas,2.85,AH Goudse jong 48+,"190 gPrijs per KG € 15,00",Nutri-Score D,False,True,,,23 g,1500 kJ (360 kcal),,,,0 g,,,,,,30 g,,,,,,,,,,,,0 g,,,8.9 g,,20 g,,,
kaas-vleeswaren-tapas,3.25,AH Groene pesto,"90 gPrijs per KG € 36,11",Nutri-Score D,False,False,,,6.1 g,2404 kJ (583 kcal),,,,4 g,,,,,,60 g,,,,,,,,,,,,1.5 g,,,49 g,,8.8 g,,,
kaas-vleeswaren-tapas,1.69,Meester & Zn. Achterham,"150 gPrijs per KG € 11,27",Nutri-Score D,False,False,,,16 g,407 kJ (96 kcal),,,,3.5 g,,,,,,2 g,,,,,,,,,,,,0.2 g,,,1.2 g,,0.8 g,,,
kaas-vleeswaren-tapas,3.49,AH Biologisch Kipfilet,"ca. 100 gPrijs per KG € 34,90",Nutri-Score C,False,False,,,20 g,531 kJ (126 kcal),,,,2.9 g,,,,,,3.8 g,,,,,,,,,,,,0.1 g,,,3.1 g,,0.7 g,,,
kaas-vleeswaren-tapas,5.65,AH Goudse jong belegen 48+ plakken voordeel,"400 gPrijs per KG € 14,13",Nutri-Score D,False,True,,,24 g,1555 kJ (375 kcal),,,,0 g,,,,,,31 g,,,,,,,,,,,,0 g,,,9.4 g,,21 g,,,
kaas-vleeswaren-tapas,1.99,Meester & Zn. Kalkoenfilet,"150 gPrijs per KG € 13,27",Nutri-Score D,False,False,,,19 g,443 kJ (105 kcal),,,,0.5 g,,,,,,3 g,,,,,,,,,,,,0 g,,,1.9 g,,1.1 g,,,
kaas-vleeswaren-tapas,3.53,AH Zaanlander Jong 48+ plakken,"ca. 210 gPrijs per KG € 16,89",Nutri-Score D,False,True,,,23 g,1501 kJ (362 kcal),,,,0 g,,,,,,30 g,,,,,,,,,,,,0 g,,,10 g,,19 g,,,
kaas-vleeswaren-tapas,2.49,Galbani Mozzarella mini,"150 gPrijs per KG € 16,60",,False,False,,,19 g,969 kJ (233 kcal),,,,1 g,,,,,,17 g,,,,,,,,,,,,,,,,,12 g,,,
kaas-vleeswaren-tapas,1.96,AH Ardenner boterhamworst,"ca. 120 gPrijs per KG € 16,58",Nutri-Score E,False,False,,,12 g,1149 kJ (277 kcal),,,,5.5 g,,,,,,23 g,,,,,,,,,,,,0 g,,,13 g,,8.9 g,,,
kaas-vleeswaren-tapas,13.80,AH Goudse oud 48+ plakken 4-pack,per pakket,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaas-vleeswaren-tapas,2.99,AH Goudse jong belegen 48+ plakken,"190 gPrijs per KG € 15,74",Nutri-Score D,False,True,,,24 g,1555 kJ (375 kcal),,,,0 g,,,,,,31 g,,,,,,,,,,,,0 g,,,9.4 g,,21 g,,,
kaas-vleeswaren-tapas,2.39,AH Goudsalami,"125 gPrijs per KG € 19,12",Nutri-Score E,False,False,,,17 g,1476 kJ (357 kcal),,,,0.2 g,,,,,,32 g,,,,,,,,,,,,0 g,,,19 g,,13 g,,,
kaas-vleeswaren-tapas,2.89,AH Flinterdunne gegrilde beenham,"ca. 100 gPrijs per KG € 28,90",Nutri-Score C,False,False,,,20 g,448 kJ (106 kcal),,,,0.9 g,,,,,,2.5 g,,,,,,,,,,,,0 g,,,1.5 g,,1 g,,,
kaas-vleeswaren-tapas,1.79,AH Leverworst gesneden,"ca. 115 gPrijs per KG € 15,59",Nutri-Score D,False,False,,,16 g,1190 kJ (290 kcal),,,,4 g,,,,,,23 g,,,,,,,,,,,,0 g,,,,,9 g,,,
kaas-vleeswaren-tapas,1.99,Kips Smeerleverworst kleintje,"120 gPrijs per KG € 16,58",,False,False,,,11.5 g,1032 kJ (249 kcal),,,,1.3 g,,,,,,22 g,,,,,,,,,,,,0.1 g,,,,,8.5 g,,,
kaas-vleeswaren-tapas,2.39,AH Kipgrillworst,"150 gPrijs per KG € 15,93",Nutri-Score D,False,False,,,14 g,768 kJ (184 kcal),,,,5 g,,,,,,12 g,,,,,,,,,,,,0.1 g,,,7.2 g,,5 g,,,
kaas-vleeswaren-tapas,2.25,AH Grillworst zaanlanderkaas,"ca. 125 gPrijs per KG € 18,00",Nutri-Score E,False,False,,,16 g,1162 kJ (280 kcal),,,,4.4 g,,,,,,22 g,,,,,,,,,,,,0.2 g,,,13 g,,8.6 g,,,
kaas-vleeswaren-tapas,1.89,AH Boterhamworst,"ca. 125 gNormale prijs per KG € 15,15",Nutri-Score E,False,False,,,10 g,1081 kJ (261 kcal),,,,7.9 g,,,,,,21 g,,,,,,,,,,,,0 g,,,13 g,,8.2 g,,,
kaas-vleeswaren-tapas,0.79,AH Zuivelspread knoflook kruiden,"200 gPrijs per KG € 3,95",Nutri-Score D,False,True,,,3.8 g,867 kJ (210 kcal),,,,3.6 g,,,,,,20 g,,,,,,,,,,,,0.2 g,,,5 g,,12 g,,,
kaas-vleeswaren-tapas,4.69,AH Biologisch Spekreepjes,"200 gPrijs per KG € 23,45",Nutri-Score E,False,False,,,16 g,1465 kJ (354 kcal),,,,0.5 g,,,,,,32 g,,,,,,,,,,,,0 g,,,20 g,,12 g,,,
kaas-vleeswaren-tapas,2.39,Philadelphia Original,"200 gPrijs per KG € 11,95",,False,False,,,5.4 g,933 kJ (226 kcal),,,,4.3 g,,,,,,21 g,,,,,,,,,,,,0.2 g,,,,,14 g,,,
kaas-vleeswaren-tapas,3.19,AH Ontbijtspek,"150 gPrijs per KG € 21,27",Nutri-Score E,False,False,,,18 g,1129 kJ (272 kcal),,,,0.5 g,,,,,,22 g,,,,,,,,,,,,0 g,,,14 g,,8 g,,,
kaas-vleeswaren-tapas,1.99,AH Excellent Jamon serrano,"50 gNormale prijs per KG € 39,80",Nutri-Score D,False,False,,,30 g,882 kJ (210 kcal),,,,0.1 g,,,,,,10 g,,,,,,,,,,,,0 g,,,6 g,,4 g,,,
