Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt,Url
zuivel-plantaardig-en-eieren,2.99,AH Smeerbare roomboter ongezouten,"250 gPrijs per KG € 11,96",Nutri-Score D,False,True,,,0.6 g,2424 kJ (589 kcal),,,,0.5 g,,,,,,65 g,,,,,,,,,,,,0 g,,,28 g,,35 g,,,
zuivel-plantaardig-en-eieren,1.29,AH Lactosevrije houdbare halfvolle melk,"1 lPrijs per LT € 1,29",Nutri-Score A,False,True,,120 mg,3.5 g,197 kJ (47 kcal),,,,4.8 g,,,,,,1.5 g,,,,,,,,,,,,0 g,,,0.6 g,,0.9 g,,,
zuivel-plantaardig-en-eieren,1.55,AH Biologisch Houdbare volle melk,"1 lPrijs per LT € 1,55",Nutri-Score B,False,True,,120 mg,3.4 g,285 kJ (68 kcal),,,,4.9 g,,,,,,3.9 g,,,,,,,,,,,,0 g,,,1.2 g,,2.6 g,,,
zuivel-plantaardig-en-eieren,1.55,AH Amandel drink ongezoet,"1 lPrijs per LT € 1,55",Nutri-Score B,True,True,,120 mg,0.5 g,52 kJ (13 kcal),,,,0 g,,,,,,1.1 g,,,,0.21 mg,,,,,1.8 mg,,,0.3 g,,,1 g,,0.1 g,,,
zuivel-plantaardig-en-eieren,2.15,AH Biologisch Magere kwark naturel,"500 gPrijs per KG € 4,30",Nutri-Score A,False,True,,,9.5 g,225 kJ (53 kcal),,,,3.5 g,,,,,,0.1 g,,,,,,,,,,,,0 g,,,0 g,,0 g,,,
zuivel-plantaardig-en-eieren,1.99,Optimel Drinkyoghurt aardbei-kers,"1 lPrijs per LT € 1,99",,False,False,,105 mg,3.2 g,134 kJ (31 kcal),,,,3.7 g,,,,,,,,,,0.15 mg,,,,,,,,,,,,,,,,
zuivel-plantaardig-en-eieren,0.95,AH Soja drink ongezoet,"1 lPrijs per LT € 0,95",Nutri-Score A,True,True,,120 mg,3.5 g,152 kJ (36 kcal),,,,0.9 g,,,,,,1.9 g,,,,0.21 mg,,,,,,,,0.8 g,,,1.6 g,,0.3 g,,,
zuivel-plantaardig-en-eieren,1.99,Optimel Limited edition drink cheeky cherry,"1 lPrijs per LT € 1,99",,False,False,,105 mg,3.2 g,135 kJ (32 kcal),,,,3.8 g,,,,,,,,,,0.15 mg,,,,,,,,,,,,,,,,
zuivel-plantaardig-en-eieren,1.05,De Zaanse Hoeve Magere Melk,"1 lPrijs per LT € 1,05",Nutri-Score A,False,True,,133 mg,3.7 g,148 kJ (35 kcal),,,,4.8 g,,,,,,0.1 g,,,,0.1 mg,,,,,,,,0 g,,,0 g,,0.1 g,,,
zuivel-plantaardig-en-eieren,1.59,Melkunie Breaker aardbei yoghurt,"200 gPrijs per KG € 7,95",,False,False,,,3.1 g,414 kJ (98 kcal),,,,14 g,,,,,,3 g,,,,,,,,,,,,,,,,,2 g,,,
zuivel-plantaardig-en-eieren,2.99,Flower Farm Smeren zonder palm,"375 gPrijs per KG € 7,97",,True,True,,,0 g,2230 kJ (540 kcal),,,,0.4 g,,,,,,60 g,800 µg,,,,,,,,17 mg,,,0 g,,,,,15 g,,,
zuivel-plantaardig-en-eieren,1.09,AH Sour cream,"125 gPrijs per KG € 8,72",Nutri-Score C,False,True,,,3 g,490 kJ (120 kcal),,,,4 g,,,,,,10 g,,,,,,,,,,,,0 g,3 g,0.5 g,,,6.5 g,,,
zuivel-plantaardig-en-eieren,0.29,De Zaanse Hoeve Roomtoetje vanille,"200 gPrijs per KG € 1,45",Nutri-Score C,False,False,,,2.5 g,401 kJ (95 kcal),,,,14 g,,,,,,3.2 g,,,,,,,,,,,,0.2 g,,,1.2 g,,2 g,,,
zuivel-plantaardig-en-eieren,2.85,Alpro Mild & creamy no sugars,"755 gPrijs per KG € 3,77",Nutri-Score A,False,False,,120 mg,4 g,42 kcal (177 kJ),,,,0 g,,,,,,2.3 g,,,,,,,,,,,,0.9 g,,,,,0.4 g,,,
zuivel-plantaardig-en-eieren,1.65,Campina Magere yoghurt,"1 lPrijs per LT € 1,65",,False,False,,135 mg,4.7 g,167 kJ (39 kcal),,,,4 g,,,,,,0 g,,,,,,,,,,,,,,,,,0 g,,,
zuivel-plantaardig-en-eieren,1.99,Optimel Drinkyoghurt limoen,"1 lPrijs per LT € 1,99",,False,False,,105 mg,3.2 g,133 kJ (31 kcal),,,,3.6 g,,,,,,0 g,,,,0.15 mg,,,,,,,,,,,,,0 g,,,
zuivel-plantaardig-en-eieren,1.99,Optimel Drinkyoghurt aardbei,"1 lPrijs per LT € 1,99",,False,False,,105 mg,3.2 g,132 kJ (31 kcal),,,,3.7 g,,,,,,,,,,0.15 mg,,,,,,,,,,,,,,,,
zuivel-plantaardig-en-eieren,1.85,Campina Vanille vla,"1 lPrijs per LT € 1,85",,False,False,,120 mg,2.8 g,382 kJ (91 kcal),,,,13.4 g,,,,,,2.8 g,,,,,,,,,,,,,,,,,2 g,,,
zuivel-plantaardig-en-eieren,0.49,AH Halfvolle koffiemelk cups,"10 stuksPrijs per LT € 6,90",Nutri-Score B,False,True,,,7.4 g,489 kJ (116 kcal),,,,12 g,,,,,,4.3 g,,,,,,,,,,,,0 g,1.1 g,0.1 g,1.2 g,,3 g,,,
zuivel-plantaardig-en-eieren,1.99,AH Basis vloeibaar,"0,75 lPrijs per LT € 2,65",Nutri-Score C,True,True,,,0 g,2590 kJ (630 kcal),,,,0 g,,,,,,70 g,720 µg,,,,,,,,26 mg,,,0 g,,,63 g,,6.8 g,,,
zuivel-plantaardig-en-eieren,3.99,Blije Kip eieren Vrije uitloop buitenei,10 stuks,,False,False,,,12.7 g,618 kJ (148 kcal),,,,0.5 g,,,,,,10.5 g,,,,,,,,,,,,,3.6 g,1.9 g,,,2.8 g,,,
zuivel-plantaardig-en-eieren,0.59,AH Griekse stijl portie,"150 gPrijs per KG € 3,93",Nutri-Score C,False,True,,116 mg,4.5 g,505 kJ (120 kcal),,,,3.5 g,,,,,,10 g,,,,,,,,,,,,0 g,,,2.5 g,,7.5 g,,,
zuivel-plantaardig-en-eieren,0.79,De Zaanse Hoeve Halfvolle melk,"500 mlPrijs per LT € 1,58",Nutri-Score B,False,True,,132 mg,3.6 g,197 kJ (47 kcal),,,,4.7 g,,,,,,1.5 g,,,,0.19 mg,,,,,,,,0 g,,,0.4 g,,1.1 g,,,
zuivel-plantaardig-en-eieren,2.49,Optimel Magere kwark aardbei,"500 gPrijs per KG € 4,98",,False,False,,200 mg,6.7 g,187 kJ (44 kcal),,,,4 g,,,,,,0 g,,,,0.21 mg,,,,,,,,,,,,,0 g,,,
zuivel-plantaardig-en-eieren,1.45,De Zaanse Hoeve Slagroom,"250 mlPrijs per LT € 5,80",Nutri-Score D,False,True,,,2.4 g,1204 kJ (292 kcal),,,,3.1 g,,,,,,30 g,,,,,,,,,,,,0 g,,,8.7 g,,21 g,,,
zuivel-plantaardig-en-eieren,1.25,AH Karnemelk,"1 lPrijs per LT € 1,25",Nutri-Score A,False,True,,119 mg,3.3 g,117 kJ (28 kcal),,,,3.6 g,,,,,,0 g,,,,0.17 mg,,,,,,,,0 g,,,0 g,,0 g,,,
zuivel-plantaardig-en-eieren,1.99,Arla Biologisch volle melk,"1 lPrijs per LT € 1,99",,False,False,,122 mg,3.3 g,268 kJ (64 kcal),,,,4.6 g,,,,,,3.6 g,,,,0.18 mg,,,,,,,,,,,,,2.5 g,,,
zuivel-plantaardig-en-eieren,2.45,Alpro Barista haver,"1 lNormale prijs per LT € 2,45",Nutri-Score A,False,False,,,0.8 g,59 kcal (248 kJ),,,,6.7 g,,,,,,3 g,,,,0.21 mg,,,,,,,,1 g,,,,,0.3 g,,,
zuivel-plantaardig-en-eieren,1.89,Arla Biologische milde yoghurt halfvol,"1 lPrijs per LT € 1,89",,False,False,,143 mg,4 g,215 kJ (51 kcal),,,,4.5 g,,,,,,1.5 g,,,,0.21 mg,,,,,,,,,,,,,1.1 g,,,
zuivel-plantaardig-en-eieren,0.99,AH Slagroom houdbaar,"200 mlPrijs per LT € 4,95",Nutri-Score D,False,True,,,2.4 g,1209 kJ (293 kcal),,,,3.4 g,,,,,,30 g,,,,,,,,,,,,0 g,,,9 g,,21 g,,,
zuivel-plantaardig-en-eieren,1.95,Almhof Roomyoghurt perzik maracuja,"500 gPrijs per KG € 3,90",,False,False,,,2.7 g,589 kJ (141 kcal),,,,13.3 g,,,,,,8.2 g,,,,,,,,,,,,,,,,,5.5 g,,,
zuivel-plantaardig-en-eieren,1.69,Campina Halfvolle melk,"1 lPrijs per LT € 1,69",,False,False,,120 mg,3.6 g,202 kJ (48 kcal),,,,4.8 g,,,,,150 mg,1.5 g,,,,0.18 mg,,,,,,,,,,,,,1.1 g,,,
zuivel-plantaardig-en-eieren,1.49,AH Verse crème fraiche,"125 gPrijs per KG € 11,92",Nutri-Score D,False,True,,,2.7 g,1207 kJ (293 kcal),,,,3 g,,,,,,30 g,,,,,,,,,,,,0 g,,,9.9 g,,20 g,,,
